rm,lstat,ptratio,dis,nox,crim,tax,age,price
6.202,14.52,20.2,1.8629,0.679,37.6619,666,78.7,10.9
6.193,21.52,20.2,1.9356,0.679,7.36711,666,78.1,11.0
6.38,24.08,20.2,1.9682,0.679,9.33889,666,76.80000000000001,9.5
6.348,17.64,20.2,2.0527,0.584,0.253715,666,86.1,14.5
6.833,19.69,20.2,2.0882,0.584,10.0623,666,94.3,14.1
6.425,12.03,20.2,2.2004,0.584,6.44405,666,74.8,16.1
6.436,16.22,20.2,2.3158,0.713,5.58107,666,87.9,14.3
6.208,15.17,20.2,2.2222,0.713,13.9134,666,95.0,11.7
6.629,23.27,20.2,2.1247,0.74,11.1604,666,94.6,13.4
6.461,18.05,20.2,2.0026,0.74,14.4208,666,93.3,9.6
6.152,26.45,20.2,1.9142,0.74,15.1772,666,100.0,8.7
5.935,34.02,20.2,1.8206,0.74,13.6781,666,87.9,8.4
5.627,22.88,20.2,1.8172,0.74,9.39063,666,93.9,12.8
5.818,11.43,20.2,1.8662,0.74,22.0511,666,92.4,10.5
6.406,11.43,20.2,2.0651,0.74,9.72418,666,97.2,17.1
6.219,16.59,20.2,2.0048,0.74,5.66637,666,100.0,18.4
6.485,18.85,20.2,1.9784,0.74,9.96654,666,100.0,15.4
5.854,23.79,20.2,1.8956,0.74,12.8023,666,96.6,10.8
6.459,23.98,20.2,1.9879,0.74,10.6718,666,94.8,11.8
6.341,17.79,20.2,2.072,0.74,6.28807,666,96.4,14.9
6.251,16.44,20.2,2.198,0.74,9.92485,666,96.6,12.6
6.185,18.13,20.2,2.2616,0.713,9.32909,666,98.7,14.1
6.417,19.31,20.2,2.185,0.713,7.52601,666,98.3,13.0
6.749,17.44,20.2,2.3236,0.713,6.71772,666,92.6,13.4
6.655,17.73,20.2,2.3552,0.713,5.44114,666,76.80000000000001,15.2
6.297,17.27,20.2,2.3682,0.713,5.09017,666,91.8,16.1
7.393,16.74,20.2,2.4527,0.713,8.24809,666,99.3,17.8
6.728,18.71,20.2,2.4961,0.713,9.51363,666,94.1,14.9
6.525,18.13,20.2,2.4358,0.713,4.75237,666,86.5,14.1
5.976,19.01,20.2,2.5806,0.713,4.66883,666,87.9,12.7
5.936,16.94,20.2,2.7792,0.713,8.20058,666,80.3,13.5
6.301,16.23,20.2,2.7831,0.713,7.75223,666,83.7,14.9
6.081,14.7,20.2,2.7175,0.713,6.80117,666,84.4,20.0
6.701,16.42,20.2,2.5975,0.713,0.253715,666,90.0,16.4
6.376,14.65,20.2,2.5671,0.713,3.69311,666,88.4,17.7
6.317,13.99,20.2,2.7344,0.713,6.65492,666,83.0,19.5
6.513,10.29,20.2,2.8016,0.713,5.82115,666,89.9,20.2
6.209,13.22,20.2,2.9634,0.655,7.83932,666,65.4,21.4
5.759,14.13,20.2,3.0665,0.655,0.253715,666,48.2,19.9
5.952,17.15,20.2,2.8715,0.655,3.77498,666,84.7,19.0
6.003,21.32,20.2,2.5403,0.584,4.42228,666,94.5,19.1
5.926,18.13,20.2,2.9084,0.58,15.5757,666,71.0,19.1
5.713,14.76,20.2,2.8237,0.58,13.0751,666,56.7,20.1
6.167,16.29,20.2,3.0334,0.58,4.34879,666,84.0,19.9
6.229,12.87,20.2,3.0993,0.532,4.03841,666,90.7,19.6
6.437,14.36,20.2,2.8965,0.58,3.56868,666,75.0,23.2
6.98,11.43,20.2,2.5329,0.614,4.64689,666,67.6,29.8
5.427,18.14,20.2,2.4298,0.584,8.05579,666,95.4,13.8
6.162,24.1,20.2,2.206,0.584,6.39312,666,97.4,13.3
6.484,18.68,20.2,2.3053,0.614,4.87141,666,93.6,16.7
5.304,24.91,20.2,2.1007,0.614,15.0234,666,97.3,12.0
6.185,18.03,20.2,2.1705,0.614,10.233,666,96.7,14.6
6.229,13.11,20.2,1.9512,0.614,14.3337,666,88.0,21.4
6.242,10.74,20.2,3.4242,0.532,5.82401,666,64.7,23.0
6.75,7.74,20.2,3.3317,0.532,5.70818,666,74.9,23.7
7.061,7.01,20.2,3.4106,0.532,5.73116,666,77.0,25.0
5.762,10.42,20.2,4.0983,0.532,2.81838,666,40.3,21.8
5.871,13.34,20.2,3.724,0.583,2.37857,666,41.9,20.6
6.312,10.58,20.2,3.9917,0.583,3.67367,666,51.9,21.2
6.114,14.98,20.2,3.5459,0.583,5.69175,666,79.8,19.1
5.905,11.45,20.2,3.1523,0.583,4.83567,666,53.2,20.6
5.454,18.06,20.1,1.8209,0.609,0.15086,711,92.7,15.2
5.414,23.97,20.1,1.7554,0.609,0.18337,711,98.3,7.0
5.093,29.68,20.1,1.8226,0.609,0.20746,711,98.0,8.1
5.983,18.07,20.1,1.8681,0.609,0.10574,711,98.8,13.6
5.983,13.35,20.1,2.1099,0.609,0.11132,711,83.5,20.1
5.707,12.01,19.2,2.3817,0.585,0.17331,391,54.0,21.8
5.926,13.59,19.2,2.3817,0.585,0.27957,391,42.6,24.5
5.67,17.6,19.2,2.7986,0.585,0.17899,391,28.8,23.1
5.39,21.14,19.2,2.7986,0.585,0.2896,391,72.9,19.7
5.794,14.1,19.2,2.8927,0.585,0.26838,391,70.6,18.3
6.019,12.92,19.2,2.4091,0.585,0.23912,391,65.3,21.2
5.569,15.1,19.2,2.3999,0.585,0.17783,391,73.5,17.5
6.027,14.33,19.2,2.4982,0.585,0.22438,391,79.7,16.8
6.593,11.43,21.0,2.4786,0.573,0.06263,273,69.1,22.4
6.12,9.08,21.0,2.2875,0.573,0.04527,273,76.7,20.6
6.976,5.64,21.0,2.1675,0.573,0.06076,273,91.0,23.9
6.794,6.48,21.0,2.3889,0.573,0.10959,273,89.3,22.0
6.03,7.88,21.0,2.505,0.573,0.04741,273,76.80000000000001,11.9
